﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
SAVE_NEW_GAME,Save New Custom Checkpoint,新しいカスタムチェックポイントを保存する
SELECT_CHARACTER,SELECT CHARACTER,キャラクター選択
SELECTED_CARDS,Selected Cards,選択したカード
SHEATHED,Sheathed,カバーされた
SLOT,Slot,スロット
SOUTH,South,南
START_BUILDING,Start the construction of ,次の建築：
STAT_INFLUENCES,Influenced by,影響された
INVENTORY_STORE,Store inside {0},{0}に保管する
STRONG_FLAVOUR,Very {0},かなり{0}
SUBTLE_FLAVOUR,Slightly {0},少し{0}
SUCCESS_CHANCE,Success,成功
SURVIVAL_BONUS,Survival bonus,サバイバルボーナス！
SWITCH_BOTH_HANDS,Switch to Both Hands,両手に変える
SWITCH_MAIN_HAND,Switch to Main Hand,利き手に変える
SWITCH_OFF_HAND,Switch to Off Hand,反対の手に変える
TIME_IS_BETWEEN,It's between {0} and {1},{0}と{1}の間
TIP,Tip,ヒント
BLAND,Tastes bland...,味が薄い・・・
TOO_INTENSE_TASTE,Too {0}...,味が{0}・・・
TRACKING_NAME,The tracks belong to {0}.,{0}の足跡。
TRACKING_DIRECTION,The tracks are going {0}.,{0}への足跡。
TRACKING_TIME,The tracks were left {0} ago.,足跡は{0}前から残ってる。
TRACK_QUEST,Track {0},{0}を追跡
TRACKING_WEIGHT,The tracks were left by something of {0} weight.,足跡はおそらく{0}くらいの重さのものが残した。
TRADE_STEALING,Stealing is wrong!,物を盗んだらダメ！
TRADE_SLOT,Drag items here to trade,交換するには、アイテムをここにドラッグする。
SPECIAL_LIQUID_TRANSFER,Transfer {0},{0}を移す
TRANSFER_TO_LOCATION,Move Item,アイテムを移動する
TRASH_CONFIRM,Throw {0} away?,{0}を捨てる？
DEMO_UNAVAILABLE,Full Game Only,フルゲームのみ
UNKNOWN_CHARACTER,Unknown,不明
TO_UNLOCK,To unlock: ,アンロックリスト：
UNSHEATHE_BOTH_HAND,Unsheathe to Both Hands,両手で抜く
UNSHEATHE_MAIN_HAND,Unsheathe to Main Hand,利き手で抜く
UNSHEATHE_OFF_HAND,Unsheathe to Off Hand,反対の手で抜く
UNTRACK_QUEST,Untrack {0},{0}の追跡を止める
VICTORY,I SURVIVED!,生き残った！
VICTORY_BONUS,Victory Bonus,勝利ボーナス
ENCOUNTER_WEAPON_AND_PROJECTILE,{0} and {1},{0}と{1}
WEST,West,西
WOUNDED,YOU GOT WOUNDED!,怪我してしまった！
WOUNDS,Wounds,傷
YEAR_NUMBER,Year {0},{0}年
YOU,You,あなた
GuideManager_AllTips[0],You can bookmark cards from their description windows so you can quickly jump to them.,カードの詳細画面からブックマークすれば、簡単にカードが見つかるようになる。
GuideManager_AllTips[1],You can right-click on cards to make them quickly jump from one row to another.,カードを右クリックすれば別の列に移動させることができる。
GuideManager_AllTips[2],You can move stacks from one row to another by holding left-click on the top or bottom of a card.,カードの上か下を長押し、ドラッグすればカードのスタックを別の列に移動させることができる。
GuideManager_AllTips[3],"If you're too hot, consider taking clothes off or getting wet to lower your temperature.",暑すぎる時は、服を脱ぐか、体を濡らして体温を下げてみよう。
GuideManager_AllTips[4],"Make sure to undress before washing yourself or going for a swim, you don't want to get your clothes wet.",泳いだり体を洗いだりする前は、服が濡れないように脱ぐようにしよう。
EncounterWindow_StatEnforcedPlayerActions[0].LogMessage.LogText,"Fear overwhelms you!\n<b>You disentangle yourself from the fight as best you can and run for dear life!</b>",恐ろしすぎる！<b> 戦いから離れ、なるべく遠くへ逃げた！</b>
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionName,Demoralized Escape,落胆した逃亡
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionSuccessLog.LogText,you manage to escape!,なんとか逃げ出せた！
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionFailureLog.LogText,you manage to escape!,なんとか逃げ出せた！
EncounterWindow_PlayerEscapeAction.ActionName,Escape!,逃げろ！
EncounterWindow_PlayerEscapeAction.ActionSuccessLog.LogText,you manage to escape!,なんとか逃げ出せた！
EncounterWindow_PlayerEscapeAction.ActionFailureLog.LogText,you manage to escape!,なんとか逃げ出せた！
EncounterWindow_PlayerGetCloseAction.ActionName,Charge,チャージ
EncounterWindow_PlayerGetCloseAction.ActionSuccessLog.LogText,you move into close combat!,接近戦が始まった！
EncounterWindow_PlayerGetCloseAction.ActionFailureLog.LogText,you move into close combat!,接近戦が始まった！
EncounterWindow_PlayerBreakFreeAction.ActionName,Break Free,逃げる
EncounterWindow_PlayerBreakFreeAction.ActionSuccessLog.LogText,you push the {0} away and get on your feet.,{0}を突き飛ばし、立ち上がった。
EncounterWindow_PlayerBreakFreeAction.ActionFailureLog.LogText,you can't get away from the {0}!,{0}から離れられない！
EncounterWindow_PlayerRecoverAction.ActionName,Recover,回復
EncounterWindow_GeneralPlayerActions[0].ActionName,Dodge,回避
EncounterWindow_EnemyHiddenLog.LogText,{0} catches you off guard!,{0}から不意打ちをくらった！
EncounterWindow_EnemyHiddenPluralLog.LogText,{0} catch you off guard!,{0}から不意打ちをくらった！
EncounterWindow_PlayerHiddenLog.LogText,{0} hasn't noticed you yet...,まだ{0}に気づかれてない・・・
EncounterWindow_PlayerHiddenPluralLog.LogText,{0} haven't noticed you yet...,まだ{0}に気づかれてない・・・
EncounterWindow_PlayerStealthAttackLog.LogText,You approach silently...,静かに近づいた・・・
EncounterWindow_PlayerVulnerableLog.LogText,You lose your footing and are left in a vulnerable state...,バランスが崩れてしまい、危機的な状況になってしまった。
EncounterWindow_EnemyVulnerableLog.LogText,{0} is off balance and vulnerable!,{0}はバランスを崩し、無防備になった。
EncounterWindow_PlayerWeaponActionSuccessLog.LogText,you manage to land a hit with your {1}.,{1}でなんとか攻撃を当てることができた。
EncounterWindow_PlayerWeaponActionFailureLog.LogText,you fail to land a hit with your {1}.,{1}の攻撃が外れてしまった。
EncounterWindow_DefaultEnemyDefeatedEncounterLog.LogText,You are victorious!,勝利！
EncounterWindow_DefaultEnemyEscapedEncounterLog.LogText,The foe runs away from combat...,敵が逃げてしまった・・・
EncounterWindow_DefaultPlayerEscapedLog.LogText,You retreat from combat...,戦いから逃げた・・・
EncounterWindow_DefaultPlayerDemoralizedLog.LogText,You run away from the {0}.,{0}から逃げた。
EncounterWindow_DefaultInitiatingChaseLog.LogText,Should you run after the {0}?,{0}を追う？
EncounterWindow_DefaultChaseSuccessfulLog.LogText,You manage to catch up with it!,なんとか追いついた！
EncounterWindow_DefaultChaseFailedLog.LogText,It escapes your grasp.,逃してしまった。
EncounterWindow_DefaultLeaveBeLog.LogText,You let the {0} run away.,{0}を逃してしまった。
EncounterWindow_EquipInMainHandLog.LogText,You hold your {0} in your main hand.,利き手で{0}を持った。
EncounterWindow_EquipInOffHandLog.LogText,You hold your {0} in your off hand.,反対の手で{0}を持った。
EncounterWindow_EquipInBothHandsLog.LogText,You hold your {0} with both hands.,両手で{0}を持った。
EncounterWindow_SheatheLog.LogText,You sheathe away your {0}.,{0}を鞘に戻した。
EncounterWindow_DropOnGroundLog.LogText,You drop your {0}.,{0}を落とした。
EncounterWindow_DefaultWeaponBrokeLog.LogText,Your {0} broke!,{0}が壊れた！
HELP,Help,ヘルプ
CARD_INSPECTION_TITLE,DETAILS,情報
SEARCH,Search...,サーチ・・・
SURVIVAL_CODEX,SURVIVAL GUIDE,サバイバルガイド
LEAVE_BE,Leave it be,放っておく
CONTINUE,Continue,続ける
CONFIRM_QUESTION,Confirm?,確定する？
BACK,Back,戻る
NO,No,いいえ
YES,Yes,はい
OBJECTIVE_COMPLETE,OBJECTIVE COMPLETE,目標クリア！
VISUAL_EFFECTS,Visual effects,視覚効果(VFX)
REVERT_OPTIONS,Revert to Default Options,デフォルトオプションに戻す
AMBIENCE,Ambience,環境音
SFX,Sound Effects,効果音
MISC,MISC.,その他
INTERFACE,INTERFACE,UI
VOLUME,VOLUME,BGM
RESET_GAME,Reset Game,ゲームリセット
CUSTOMIZE_UI,Customize UI (Coming Soon),UIカスタマイズ（近日公開)
LANGUAGE,Language,言語
APPLY,Apply,適用する
RESOLUTION,Resolution,スクリーン解像度
FULLSCREEN,Fullscreen,フルスクリーン
FONT_STYLE,Font Style,フォント変更
INVERT_SCROLL,Invert Horizontal Scroll,横スクロールを反転させる
SCROLL_SENSITIVITY,Scroll Sensitivity,スクロール速度
VSYNC,VSync,垂直同期
DISPLAY,DISPLAY,ディスプレイ
RESET_GAME_CONFIRM,"This will delete all progress, custom characters and unlocked perks, and reset the options.\nReset the game?","セーブデータがすべて消えてしまいます。（カスタムキャラクター、アンロックした特典、リセットオプション含む）\n ゲームを最初から始めますか？"
OPTIONS_MENU_TITLE,OPTIONS,オプション
LANGUAGE_CHANGE_CONFIRM,Changing the language requires a restart (your progress will be saved if you're in a run). Do you wish to proceed?,言語を変更するには、リスタートをする必要があります。（プログレスは自動的にセーブされます）言語を変更しますか？
CONFIRM_DELETE_SLOT,Delete this slot?,このスロットを消しますか？
NEW_GAME,NEW GAME,ニューゲーム
CHECKPOINT_PICK_MODE,PICK A MODE,モードを選択
GAMEMODE_LIST,GAMEMODES,ゲームモード
EASY_MODE_TITLE,EASY MODE,イージーモード
THANKS_CHINESE_VIDEOS,"大头哥哥的游戏世界, 逆风笑, 老番茄 & 冰IC\n<size=75\n%>For their bilibili videos on Card Survival.</size>","大头哥哥的游戏世界、 逆风笑、 老番茄 と 冰IC\n<size=75\n%>カードサバイバルについてのbilibiliビデオを作って頂きありがとうございます！</size>"
TROPICAL_ISLAND_SUBTITLE,Tropical Island,トロピカル・アイランド
PURCHASE,Purchase,購入
SAFE_MODE_DESC,Checkpoint mode + you can manually save at any point.,チェックポイントモード＋いつでも保存できる
MIDJOURNEY,Portraits created using MidJourney,MidJourneyを使ったアート
THE_FIRST_DAYS,The First Days,最初の日
SAVE_CHARACTER,Submit,セーブする
CHARACTER_CREATION_CONFIRM,Your character will have the following reproductive organs:,キャラクターには次の生殖器がある：
SAVEFILE_WRITING_ERROR,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.","ゲームファイル保存時に、エラーが発生してしまいました。\n\n現在のゲームデータは保存できません。もし他のプログラムでこのセーブデータを開いていたら、それがエラーの原因かもしれません。一度プログラムを閉じ、もう一度セーブしてみてください。 \n\n もしまたエラーが発生してしまったら、スチームを通してお問い合わせください。winterspringgames@gmail.com宛にPlayer.log ファイルを送ってください。"
EQUIPPED_PERKS,Equipped Perks,装備特性
CREATE_CHARACTER_DESC,Customize the experience by creating your own character,自分だけのキャラクターを作り、経験をカスタマイズしてみよう
SPECIAL_THANKS,Special thanks to:,スペシャルサンクス：
DONT_REMIND_EASY_PACKAGE,"Yes, stop reminding me",はいはい、もうわかったから。
SELECT_A_PERK,SELECT A PERK,特性を選択
THANKS_RETROMATION,"Retromation \n<size=75\n%>For being an all around great guy & for showing our game to the world.</size>","RETROMATION\n<size=75\n%>素晴らしい人でいて、世界にCARD SURVIVALの名前を広めてくれてありがとう。</size>"
EXIT_CHARACTER_WITHOUT_SAVING,Exit without saving?,セーブせずに終了する？
STARTING_CONDITIONS,Starting Conditions,開始時の状態
OUR_CHINESE_VOLUNTEERS,Our chinese translation volunteers:,中国語翻訳ボランティア：
EXIT_CHARACTER_WITHOUT_NAME,Please enter a name for your character,キャラクターの名前を入力して下さい。
START_GAME_BUTTON,START GAME,ゲームを始める
CREATE_NEW_CHARACTER,CREATE NEW CHARACTER,新しいキャラクターを作る
OK,OK
DELETING_PORTRAIT,DELETING CUSTOM PORTRAIT...,カスタムポートレートの削除
THANKS_THENEOMARE,"The Neomare \n<size=75\n%>For being another great guy & showing his constant support both in his Youtube channel & the forums.</size>","「The Neomare」\n<size=75\n%>。いつもいい人でいて、YouTubeチャンネルとカードサバイバルのフォーラムで応援してくれてありがとう。</size>"
ALLOWED_CHARACTERS,Allowed Characters,使用可能な文字
OUR_PATRONS,Our supporters on Patreon:,Patreonのサポーターの皆さん：
LOADING_PORTRAITS,LOADING CUSTOM PORTRAITS...,カスタムポートレートをロード中・・・
CHECKPOINT_MODE_DESC,Auto checkpoints that you can revert to at any point or on death.,いつでも戻れる自動チェックポイント
SELECT_GAMEMODE,NEW GAME - SELECT GAMEMODE,ニューゲーム：モード選択
FANTASY_SUBTITLE,<size=75%>Fantasy Forest</size>,<size=75%>ファンタジー・フォレスト</size>
DELETE_CONFIRM,"Are you sure you want to delete?\n","本当に削除しますか？\n"
THANKS_TIMMEKEMMIT,"Matthew Kemmit aka ""Doc""\n<size=75%>For sharing your knowledge and ideas with us!</size>","Matthew Kemmit aka（""Doc"")\n<size=75%>たくさんの知識とアイデアをシェアしてくれてありがとう！</size>"
REALISTIC_MODE_DESC,"No checkpoints, no loading, just like in real life.",チェックポイントもロードもない。現実世界と同じ。
QUIT_CONFIRM_MENU,Quit the game?,ゲームを終了しますか？
CARD_SURVIVAL_TITLE,CARD SURVIVAL,カード・サバイバル
OUR_OTHER_GAMES,Our other games,WinterSpringの他のゲーム
EASY_PACKAGE_TOGGLE,Easy Mode,イージーモード
DEMO_SAVEWRITING_WARNING,"<b>IMPORTANT NOTE:</b>\nYOUR PROGRESS WILL NOT BE SAVED\n\n""The First Days"" cannot store progress on saves created by the full game.","<b>注意：</b>\nプログレスはセーブされません。\n\n\n体験版の「最初の日」のセーブデータはフルゲームでは使用できません。"
CANCEL_EASY_PACKAGE,Cancel,キャンセル
EASY_PACKAGE_DESC,"Card Survival is designed to be challenging and unforgiving.\n\nEasy Mode provides you with basic supplies so you can have more time to learn and train.","カードサバイバルは難易度が高く、容赦ないゲームです。\n\nイージーモードは、練習できるように基本装備を持った状態から始まります。"
GAME_BY,By WinterSpring Games:,WinterSpringGames作：
INFO_AND_NEWS,PATCH NOTES & NEWS,パッチノートとニュース
IMPORTING_PORTRAIT,IMPORTING CUSTOM PORTRAIT...,カスタムアートをインポート中・・・
DEMO_GET_FULL_GAME,Get the full <b>GAME</b>,<b>フルゲーム</b>を手に入れよう
ENTER_NAME,ENTER NAME,名前入力
SELECT_GAME,SELECT GAME,ゲーム選択
NEXT,NEXT,次
EDIT_CHARACTER,Edit Character,キャラクター編集
THANKS_FAMILIES,"Our Families\n<size=75%>For their trust, patience & love.</size>","家族たちへ：\n<size=75%>信じてくれて、愛をくれて、多くのことを我慢してくれてありがとう。</size>"
DELETE_PORTRAIT_CONFIRM,Delete custom portrait?,カスタムアートを消す？
ENTER_BIO,Enter Character Bio,キャラクター情報を入力
PLAY,Play,プレイ
CHARACTERS,CHARACTERS,キャラクター
BOUGHT,Purchased,購入した物
MOONS_TITLE,Moons,月
MOONS_DESC,You earn one moon per 30 days of survival,生き残った３０日ごとに、月が１つ貰える。
SAFETY_MODE_TITLE,Safety Mode,セーフモード
SAFETY_MODE_DESC,Allows you to restart the day from the menu or when you die.,セーフモードでは、メニューから一日をリスタートできる。死んでもリスタートできる。
SUNS_TITLE,Suns,太陽
SUNS_DESC,You earn one sun per day of survival,生き残った１日ごとに、太陽が１つ貰えます。
CANCEL_ACTION,CANCEL,キャンセル
NO_BLUEPRINT_AVAILABLE,Explore and find items to unlock blueprints,設計図をアンロックするには、探検してアイテムを見つける必要がある
BLUEPRINT_MODELS,BLUEPRINTS,設計図
LOAD_CHECKPOINT,Load Checkpoint,チェックポイントをロードする
OPTIONS,Options,オプション
LOAD_CUSTOM_CHECKPOINT,Load,ロード
SAVE_CUSTOM_CHECKPOINT,Save,セーブ
SAVE_AND_QUIT,Save and Quit,セーブしてやめる
CHECKPOINT_CONFIRM,Restart from the start of this day?,１日をやり直す？
MENU,MENU,メニュー
QUIT_CONFIRM,Save and quit to main menu?,セーブして、メインメニューに戻る？
ACCEPT_TRADE,Accept Trade,承諾
QUIT_TRADING,Cancel Trade,交換をやめる
QUESTS_JOURNAL,QUESTS,クエスト
CLOSE,Close,閉じる
STATS_TITLE,STATS,ステータス
THROW_ONE_AWAY,Throw 1 away,１つ捨てる
THROW_ALL_AWAY,"Throw \nall away","全て\n捨てる"
AUTOFILL,AUTO-FILL,オートフィル
PLEASE_CLEAR_PROJECT,Please clear current project first.,まずは現在のプロジェクトをクリアしてください。
TRADE,Trade,交換
RENAME_CARD,Rename Card,カードの名前を変更する
THROW_AWAY,Throw away,捨てる
TAKE_OUT_ITEMS,Take out all items,全てのアイテムを取り出す
TAKE_OUT,Take,取る
CONFIRM_CAPS,CONFIRM,確定
BLUEPRINT_RESEARCHED_TITLE,BLUEPRINT RESEARCHED,設計図は研究済み
BLUEPRINT_RESEARCHED_DESC,I discovered a new Blueprint!,新しい設計図を発見した！
PERK_UNLOCKED,PERK UNLOCKED!,特性をアンロックした！
BUY,Buy,購入する
WEATHER_INDICATOR,Weather:,天気：
COMPLETE,Complete,完了
DRAG_TO_BUILD,(Drag here to build),（ここにドラッグして作る）
STAT_DETAILS_STATUS,Status:,ステータス：
PERK_INSTRUCTIONS,Use Perks to create new playable characters!,特性を使って、新しいキャラクターを作ってみよう！
FULL_GAME_FEATURES,"All Characters + Character Creator\nAll Island Environments, Animals, Crops and Blueprints","全キャラクター＋キャラクター製作者\n全ての島の環境、動物、作物、設計図"
SAVING_ERROR_TEXT,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.\n\nIn the meantime, what would you like to do?","ゲームファイルを保存時に、エラーが発生してしまいました。\n\n現在のゲームデータは保存できません。もし他のプログラムでこのセーブデータを開いていたら、それがエラーの原因かもしれません。一度プログラムを閉じ、もう一度セーブしてみてください。 \n\n もしまたエラーが発生してしまったら、スチームを通してお問い合わせください。winterspringgames@gmail.com宛にPlayer.log ファイルを送ってください。\n\n 問題が解決されるまで、何しますか？"
FOR_THE_FULL_EXPERIENCE,For the full experience click on the image below:,フルゲームをプレイするには、下の画像をクリックして下さい：
GO_TO_MENU,Go to menu,メニューへ
STATS,Stats,ステータス
DIARY,Diary,日記
SKILLS,Skills,スキル
JOURNAL,Journal,ジャーナル
BLUEPRINTS,Blueprints,設計図
WAITING_OPTIONS,Waiting Options,待機オプション
ITEMS_LOST,Some items were lost,いくつかのアイテムを紛失した
FantasySet_SetName,Stylized,スタイル
