﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},Чрезвычайно {0}
CLEAR_CARD_FILTERS,Clear Filters,Очистить Фильтры
COMPLETED_QUESTS,Completed,Завершено
CONFIRM,Confirm,Подтвердить
CONFIRM_RESEARCH_SWITCH,Currently researching {0}.\nSwitch research to {1}?\n(You will keep research progress on {0}),В настоящее время исследуется {0}.\nПереключить исследование на {1}?\n(Вы сохраните прогресс исследования {0})
CONFIRM_LOAD,Do you want to load this checkpoint?,Вы хотите загрузить эту контрольную точку?
CONFIRM_SAVE,Do you want to overwrite this checkpoint?,Вы хотите перезаписать эту контрольную точку?
CONSTRUCTION,Construction,Строительство
INVENTORY_CONTENT,Contents,Содержимое
COOKING_READY,Done,Готово
COOKING_TIME_TEXT,Ready in {0},Готово через {0}
CURRENT_STATUS,Current Status,Текущий Статус
CUSTOM_CHARACTERS,Custom Characters,Пользовательские Персонажи
CUSTOM_CHECKPOINT,Custom checkpoint,Пользовательская контрольная точка
CUSTOM_PORTRAIT_COUNT,Default portrait resolution is 344x446\n{0}/{1} portraits saved,Разрешение портрета по умолчанию 344x446\n{0}/{1} портретов сохранено
DAMAGES,Damages,Повреждения
A_DAY,a day,день
DAY_COUNTER,Day {0},День {0}
FORMAT_DAYS,0D,0Д
DAYS,days,дней
DAYS_SURVIVED,You survived for {0} days.,Вы выжили {0} дней.
DEFAULT,Default,По умолчанию
DEFAULT_CHARACTER,Default Character,Персонаж по умолчанию
COOKING_SLOT,DRAG ITEMS HERE TO COOK,"ПЕРЕТАЩИТЕ ПРЕДМЕТЫ СЮДА, ЧТОБЫ ПРИГОТОВИТЬ"
EMPTY_RECIPE_SLOT,COME BACK LATER,ВЕРНИТЕСЬ ПОЗЖЕ
ENCOUNTER_ENEMY_GETTING_CLOSE,{0} is approaching you.,{0} приближается к вам.
DEFAULT_ENCOUNTER_ENEMY_NAME,Enemy,Враг
FUEL_DEFAULT_NAME,Fuel,Топливо
FUEL_FULL,{0} is full,{0} полон
FUEL_ZERO,{0} ran out of fuel,В {0} закончилось топливо
INVENTORY_SLOT,DRAG ITEMS HERE,ПЕРЕТАЩИТЕ ПРЕДМЕТЫ СЮДА
LIQUID_DEFAULT_NAME,Quantity,Количество
PROGRESS_DEFAULT_NAME,Progress,Прогресс
PROGRESS_FULL,{0} is complete,{0} завершен
PROGRESS_ZERO,{0} ran out of uses,У {0} закончились использования
SPOILAGE_DEFAULT_NAME,Spoilage,Порча
SPOILAGE_FULL,{0} is good as new,{0} как новый
SPOILAGE_ZERO,{0} spoiled,{0} испортился
SPECIAL1_DEFAULT_NAME,Value 1,Значение 1
SPECIAL2_DEFAULT_NAME,Value 2,Значение 2
SPECIAL3_DEFAULT_NAME,Value 3,Значение 3
SPECIAL4_DEFAULT_NAME,Value 4,Значение 4
USAGE_DEFAULT_NAME,Durability,Прочность
USAGE_FULL,{0} is good as new,{0} как новый
USAGE_ZERO,{0} broke,{0} сломался
DEMO_OVER,END OF FIRST DAYS,КОНЕЦ ПЕРВЫХ ДНЕЙ
DIFFICULTY_SCORE,Difficulty: {0}pts,Сложность: {0} очков
DISCARD_ACTION_DESC,Permanently get rid of this object.,Навсегда избавиться от этого объекта.
DISCARD_ACTION_TITLE,Discard,Выбросить
DISMANTLE_DESC,Collect all items and revert to previous building stage.,Соберите все предметы и вернитесь к предыдущему этапу строительства.
DISMANTLE_DESC_FIRST_STEP,Collect all items and destroy building.,Соберите все предметы и уничтожьте здание.
DO_STACK_ACTION,Do x{0},Сделать x{0}
DURATION,Duration,Продолжительность
EAST,East,Восток
EMPTY,Empty,Пусто
EQUIP_CARD,Equip {0},Экипировать {0}
EQUIP_BOTH_HAND,Equip in Both Hands,Экипировать в обе руки
EQUIP_MAIN_HAND,Equip in Main Hand,Экипировать в основную руку
EQUIP_OFF_HAND,Equip in Off Hand,Экипировать в дополнительную руку
EQUIPMENT,Equipment,Снаряжение
EVENT_TITLE,EVENT,СОБЫТИЕ
EXPLORATION,Exploration,Исследование
EXPLORED,Explored,Исследовано
EXPLORING,Exploring,Исследование
FEMALE_ORGANS,Female sexual organs.,Женские половые органы.
FILL_WITH_LIQUID,Fill {0} with {1},Заполнить {0} {1}
FINISHED_COOKING,{0} finished cooking {1},{0} закончил готовить {1}
FINISHED_COOKING_EMPTY,{0} is ready,{0} готов
GAME_OVER,GAME OVER,КОНЕЦ ИГРЫ
GIVE_CHASE,Give chase,Пуститься в погоню
PLACEHOLDER_DISCLAIMER,{0}\n\n<b>-The text above is a placeholder-</b>,{0}\n\n<b>-Текст выше является заполнителем-</b>
HOLD_FOR_ACTION,Hold for action...,Удерживайте для действия...
HOLD,Hold,Удерживать
HOPE_GOOD_TIME,We hope you had a good time!,"Надеемся, вам понравилось!"
AN_HOUR,an hour,час
HELP_TAB,Help,Помощь
FORMAT_HOURS,0h,0ч
HOURS,hours,часы
HOVER,Hover,Наведение
IMPORT_PORTRAIT,Import Custom Portrait,Импортировать Пользовательский Портрет
IMPOSSIBLE_ACTION,I can't do this now...,Я не могу сделать это сейчас...
IMPROVEMENT_DESC,{0} on a card for info,{0} на карте для информации
IMPROVEMENTS,Improvements,Улучшения
INTERACTION,Interaction,Взаимодействие
INSPECTION_TITLE,DETAILS,ПОДРОБНОСТИ
INVENTORY_CANNOT_CARRY,{0} doesn't have room for this...,У {0} нет места для этого...
INVENTORY_FULL,{0} inventory full,Инвентарь {0} полон
IS_NOT_EQUIPMENT,{0} is not equippable,{0} не может быть экипирован
JOURNAL_SUBTITLE_NAME,The {0} tale of {2}\n({1}),{0} сказание о {2}\n({1})
LAST_DAY_CHECKPOINT,Restart day,Перезапустить день
LAST_SEASON_CHECKPOINT,Restart season,Перезапустить сезон
LAST_WEEK_CHECKPOINT,Restart week,Перезапустить неделю
LAST_YEAR_CHECKPOINT,Restart year,Перезапустить год
LESS_THAN,less than {0},меньше чем {0}
LIQUID_AUTO_FILLING,Filling with {0},Заполнение {0}
LIQUID_CONTAINER_EMPTY,{0} is empty,{0} пуст
LIQUID_TRANSFER,Transfer Liquid,Перенести Жидкость
LOAD,Load,Загрузить
LOADING,LOADING,ЗАГРУЗКА
MANY,many {0},много {0}
MAIN_HAND,Main Hand,Основная Рука
MALE_ORGANS,Male sexual organs.,Мужские половые органы.
MEDIUM_FLAVOUR,Moderately {0},Умеренно {0}
FORMAT_MINUTES,0min,0мин
MINUTES,minutes,минуты
MISSING_CARD_INHAND,Missing {0} in hand,Отсутствует {0} в руке
MISSING_CARD_ONBOARD,Missing {0},Отсутствует {0}
MORE_THAN,more than {0},больше чем {0}
MOVE_ITEM_TO_LOCATION,Move {0} to {1},Переместить {0} в {1}
NEW_BLUEPRINT,New Blueprint,Новый Чертеж
NEW_DAMAGE,Something got damaged!,Что-то было повреждено!
NEW_IMPROVEMENT,New Improvement,Новое Улучшение
NO_DAMAGES,No Damages To Repair,Нет Повреждений Для Ремонта
NO_IMPROVEMENTS,No Improvements Unlocked,Нет Открытых Улучшений
NONE,None,Нет
NORTH,North,Север
OFF_HAND,Off Hand,Вторая Рука
OFFICIAL_CHARACTERS,Premade Characters,Готовые Персонажи
ONGOING_QUESTS,Ongoing,В процессе
ON_GROUND,On Ground,На Земле
PAUSED,Paused,Пауза
PICKUP_BOTH_HAND,Pick up in Both Hands,Взять в Обе Руки
PICKUP_MAIN_HAND,Pick up in Main Hand,Взять в Основную Руку
PICKUP_OFF_HAND,Pick up in Off Hand,Взять в Дополнительную Руку
ENCOUNTER_AND,... and {0},... и {0}
ENCOUNTER_BUT,... but {0},... но {0}
PLAYER_CANNOT_CARRY,This is more than I can carry...,"Это больше, чем я могу нести..."
REALISTIC_MODE,Realistic Mode,Реалистичный Режим
RESEARCH,Research,Исследование
RESEARCHING,Researching...,Исследование...
RESUME,Resume,Возобновить
SAFE_MODE,Safe Mode,Безопасный Режим
SAVE,Save,Сохранить
SAVE_NEW_GAME,Save New Custom Checkpoint,Сохранить Новую Пользовательскую Точку Контроля
SELECT_CHARACTER,SELECT CHARACTER,ВЫБОР ПЕРСОНАЖА
SELECTED_CARDS,Selected Cards,Выбранные Карты
SHEATHED,Sheathed,В ножнах
SLOT,Slot,Слот
SOUTH,South,Юг
START_BUILDING,Start the construction of ,Начать строительство 
STAT_INFLUENCES,Influenced by,Под влиянием
INVENTORY_STORE,Store inside {0},Хранить внутри {0}
STRONG_FLAVOUR,Very {0},Очень {0}
SUBTLE_FLAVOUR,Slightly {0},Слегка {0}
SUCCESS_CHANCE,Success,Успех
SURVIVAL_BONUS,Survival bonus,Бонус за выживание
SWITCH_BOTH_HANDS,Switch to Both Hands,Переключиться на Обе Руки
SWITCH_MAIN_HAND,Switch to Main Hand,Переключиться на Основную Руку
SWITCH_OFF_HAND,Switch to Off Hand,Переключиться на Дополнительную Руку
TIME_IS_BETWEEN,It's between {0} and {1},Это между {0} и {1}
TIP,Tip,Совет
BLAND,Tastes bland...,На вкус пресно...
TOO_INTENSE_TASTE,Too {0}...,Слишком {0}...
TRACKING_NAME,The tracks belong to {0}.,Следы принадлежат {0}.
TRACKING_DIRECTION,The tracks are going {0}.,Следы идут {0}.
TRACKING_TIME,The tracks were left {0} ago.,Следы были оставлены {0} назад.
TRACK_QUEST,Track {0},След {0}
TRACKING_WEIGHT,The tracks were left by something of {0} weight.,Следы оставлены чем-то весом {0}.
TRADE_STEALING,Stealing is wrong!,Кража - это плохо!
TRADE_SLOT,Drag items here to trade,Перетащите предметы сюда для обмена
SPECIAL_LIQUID_TRANSFER,Transfer {0},Переместить {0}
TRANSFER_TO_LOCATION,Move Item,Переместить предмет
TRASH_CONFIRM,Throw {0} away?,Выбросить {0}?
DEMO_UNAVAILABLE,Full Game Only,Только Полная Игра
UNKNOWN_CHARACTER,Unknown,Неизвестно
TO_UNLOCK,To unlock: ,Чтобы разблокировать: 
UNSHEATHE_BOTH_HAND,Unsheathe to Both Hands,Обнажить в Обе Руки
UNSHEATHE_MAIN_HAND,Unsheathe to Main Hand,Обнажить в Основную Руку
UNSHEATHE_OFF_HAND,Unsheathe to Off Hand,Обнажить в Дополнительную Руку
UNTRACK_QUEST,Untrack {0},Отслеживание {0} отключено
VICTORY,I SURVIVED!,Я ВЫЖИЛ!
VICTORY_BONUS,Victory Bonus,Бонус за Победу
ENCOUNTER_WEAPON_AND_PROJECTILE,{0} and {1},{0} и {1}
WEST,West,Запад
WOUNDED,YOU GOT WOUNDED!,ВЫ ПОЛУЧИЛИ РАНЕНИЕ!
WOUNDS,Wounds,Раны
YEAR_NUMBER,Year {0},Год {0}
YOU,You,Вы
GuideManager_AllTips[0],You can bookmark cards from their description windows so you can quickly jump to them.,"Вы можете добавлять карты в закладки из их окон описания, чтобы быстро переходить к ним."
GuideManager_AllTips[1],You can right-click on cards to make them quickly jump from one row to another.,"Вы можете щелкнуть правой кнопкой мыши на картах, чтобы быстро перемещать их из одного ряда в другой."
GuideManager_AllTips[2],You can move stacks from one row to another by holding left-click on the top or bottom of a card.,"Вы можете перемещать стопки из одного ряда в другой, удерживая левую кнопку мыши на верхней или нижней части карты."
GuideManager_AllTips[3],"If you're too hot, consider taking clothes off or getting wet to lower your temperature.","Если вам слишком жарко, подумайте о том, чтобы снять одежду или намочиться, чтобы снизить температуру."
GuideManager_AllTips[4],"Make sure to undress before washing yourself or going for a swim, you don't want to get your clothes wet.","Обязательно раздевайтесь перед тем, как мыться или плавать, вы не хотите намочить одежду."
EncounterWindow_StatEnforcedPlayerActions[0].LogMessage.LogText,Fear overwhelms you!\n<b>You disentangle yourself from the fight as best you can and run for dear life!</b>,"Страх захлестывает вас!\n<b>Вы как можно лучше вырываетесь из боя и бежите, спасая свою жизнь!</b>"
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionName,Demoralized Escape,Деморализованный Побег
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionSuccessLog.LogText,you manage to escape!,вам удается сбежать!
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionFailureLog.LogText,you manage to escape!,вам удается сбежать!
EncounterWindow_PlayerEscapeAction.ActionName,Escape!,Побег!
EncounterWindow_PlayerEscapeAction.ActionSuccessLog.LogText,you manage to escape!,вам удается сбежать!
EncounterWindow_PlayerEscapeAction.ActionFailureLog.LogText,you manage to escape!,вам удается сбежать!
EncounterWindow_PlayerGetCloseAction.ActionName,Charge,Атака
EncounterWindow_PlayerGetCloseAction.ActionSuccessLog.LogText,you move into close combat!,вы переходите в ближний бой!
EncounterWindow_PlayerGetCloseAction.ActionFailureLog.LogText,you move into close combat!,вы переходите в ближний бой!
EncounterWindow_PlayerBreakFreeAction.ActionName,Break Free,Освободиться
EncounterWindow_PlayerBreakFreeAction.ActionSuccessLog.LogText,you push the {0} away and get on your feet.,вы отталкиваете {0} и встаете на ноги.
EncounterWindow_PlayerBreakFreeAction.ActionFailureLog.LogText,you can't get away from the {0}!,вы не можете уйти от {0}!
EncounterWindow_PlayerRecoverAction.ActionName,Recover,Восстановление
EncounterWindow_GeneralPlayerActions[0].ActionName,Dodge,Уклонение
EncounterWindow_EnemyHiddenLog.LogText,{0} catches you off guard!,{0} застает вас врасплох!
EncounterWindow_EnemyHiddenPluralLog.LogText,{0} catch you off guard!,{0} застают вас врасплох!
EncounterWindow_PlayerHiddenLog.LogText,{0} hasn't noticed you yet...,{0} еще не заметил вас...
EncounterWindow_PlayerHiddenPluralLog.LogText,{0} haven't noticed you yet...,{0} еще не заметили вас...
EncounterWindow_PlayerStealthAttackLog.LogText,You approach silently...,Вы подходите бесшумно...
EncounterWindow_PlayerVulnerableLog.LogText,You lose your footing and are left in a vulnerable state...,Вы теряете равновесие и оказываетесь в уязвимом положении...
EncounterWindow_EnemyVulnerableLog.LogText,{0} is off balance and vulnerable!,{0} потерял равновесие и уязвим!
EncounterWindow_PlayerWeaponActionSuccessLog.LogText,you manage to land a hit with your {1}.,вам удается нанести удар с помощью вашего {1}.
EncounterWindow_PlayerWeaponActionFailureLog.LogText,you fail to land a hit with your {1}.,вам не удается нанести удар с помощью вашего {1}.
EncounterWindow_DefaultEnemyDefeatedEncounterLog.LogText,You are victorious!,Вы победили!
EncounterWindow_DefaultEnemyEscapedEncounterLog.LogText,The foe runs away from combat...,Противник убегает из боя...
EncounterWindow_DefaultPlayerEscapedLog.LogText,You retreat from combat...,Вы отступаете из боя...
EncounterWindow_DefaultPlayerDemoralizedLog.LogText,You run away from the {0}.,Вы убегаете от {0}.
EncounterWindow_DefaultInitiatingChaseLog.LogText,Should you run after the {0}?,Стоит ли бежать за {0}?
EncounterWindow_DefaultChaseSuccessfulLog.LogText,You manage to catch up with it!,Вам удается догнать его!
EncounterWindow_DefaultChaseFailedLog.LogText,It escapes your grasp.,Он ускользает из ваших рук.
EncounterWindow_DefaultLeaveBeLog.LogText,You let the {0} run away.,Вы позволяете {0} убежать.
EncounterWindow_EquipInMainHandLog.LogText,You hold your {0} in your main hand.,Вы держите ваш {0} в основной руке.
EncounterWindow_EquipInOffHandLog.LogText,You hold your {0} in your off hand.,Вы держите ваш {0} в другой руке.
EncounterWindow_EquipInBothHandsLog.LogText,You hold your {0} with both hands.,Вы держите ваш {0} обеими руками.
EncounterWindow_SheatheLog.LogText,You sheathe away your {0}.,Вы убираете ваш {0}.
EncounterWindow_DropOnGroundLog.LogText,You drop your {0}.,Вы роняете ваш {0}.
EncounterWindow_DefaultWeaponBrokeLog.LogText,Your {0} broke!,Ваш {0} сломался!
HELP,Help,Помощь
CARD_INSPECTION_TITLE,DETAILS,ПОДРОБНОСТИ
SEARCH,Search...,Поиск...
SURVIVAL_CODEX,SURVIVAL GUIDE,РУКОВОДСТВО ПО ВЫЖИВАНИЮ
LEAVE_BE,Leave it be,Оставить как есть
CONTINUE,Continue,Продолжить
CONFIRM_QUESTION,Confirm?,Подтвердить?
BACK,Back,Назад
NO,No,Нет
YES,Yes,Да
OBJECTIVE_COMPLETE,OBJECTIVE COMPLETE,ЗАДАЧА ВЫПОЛНЕНА
VISUAL_EFFECTS,Visual effects,Визуальные эффекты
REVERT_OPTIONS,Revert to Default Options,Вернуть настройки по умолчанию
AMBIENCE,Ambience,Атмосфера
SFX,Sound Effects,Звуковые эффекты
MISC,MISC.,РАЗНОЕ
INTERFACE,INTERFACE,ИНТЕРФЕЙС
VOLUME,VOLUME,ГРОМКОСТЬ
RESET_GAME,Reset Game,Сбросить игру
CUSTOMIZE_UI,Customize UI (Coming Soon),Настроить интерфейс (скоро)
LANGUAGE,Language,Язык
APPLY,Apply,Применить
RESOLUTION,Resolution,Разрешение
FULLSCREEN,Fullscreen,Полноэкранный режим
FONT_STYLE,Font Style,Стиль шрифта
INVERT_SCROLL,Invert Horizontal Scroll,Инвертировать горизонтальную прокрутку
SCROLL_SENSITIVITY,Scroll Sensitivity,Чувствительность прокрутки
VSYNC,VSync,VSync
DISPLAY,DISPLAY,ДИСПЛЕЙ
RESET_GAME_CONFIRM,"This will delete all progress, custom characters and unlocked perks, and reset the options.\nReset the game?","Это удалит весь прогресс, пользовательских персонажей и разблокированные перки, а также сбросит настройки.\nСбросить игру?"
OPTIONS_MENU_TITLE,OPTIONS,НАСТРОЙКИ
LANGUAGE_CHANGE_CONFIRM,Changing the language requires a restart (your progress will be saved if you're in a run). Do you wish to proceed?,"Изменение языка требует перезагрузки (ваш прогресс будет сохранен, если вы находитесь в игре). Хотите продолжить?"
CONFIRM_DELETE_SLOT,Delete this slot?,Удалить этот слот?
NEW_GAME,NEW GAME,НОВАЯ ИГРА
CHECKPOINT_PICK_MODE,PICK A MODE,ВЫБЕРИТЕ РЕЖИМ
GAMEMODE_LIST,GAMEMODES,РЕЖИМЫ ИГРЫ
EASY_MODE_TITLE,EASY MODE,ЛЕГКИЙ РЕЖИМ
THANKS_CHINESE_VIDEOS,"大头哥哥的游戏世界, 逆风笑, 老番茄 & 冰IC\n<size=75\n%>For their bilibili videos on Card Survival.</size>","大头哥哥的游戏世界, 逆风笑, 老番茄 & 冰IC\n<size=75\n%>За их видео на bilibili о Card Survival.</size>"
TROPICAL_ISLAND_SUBTITLE,Tropical Island,Тропический остров
PURCHASE,Purchase,Купить
SAFE_MODE_DESC,Checkpoint mode + you can manually save at any point.,Режим контрольной точки + вы можете сохраняться в любой момент.
MIDJOURNEY,Portraits created using MidJourney,Портреты созданы с помощью MidJourney
THE_FIRST_DAYS,The First Days,Первые дни
SAVE_CHARACTER,Submit,Отправить
CHARACTER_CREATION_CONFIRM,Your character will have the following reproductive organs:,Ваш персонаж будет иметь следующие репродуктивные органы:
SAVEFILE_WRITING_ERROR,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.","Похоже, произошла ошибка при попытке записать файл сохранения игры. \n\nК сожалению, это означает, что текущая игра не может быть сохранена. Если вы открыли файл сохранения в другой программе, это может быть причиной ошибки, закройте эту программу и попробуйте сохранить снова.\n\nЕсли это не так и это сообщение продолжает появляться, пожалуйста, сообщите нам на форумах Steam и отправьте нам ваш файл Player.log на winterspringgames@gmail.com. Приносим извинения за неудобства."
EQUIPPED_PERKS,Equipped Perks,Экипированные перки
CREATE_CHARACTER_DESC,Customize the experience by creating your own character,"Настройте опыт, создавая своего собственного персонажа"
SPECIAL_THANKS,Special thanks to:,Особая благодарность:
DONT_REMIND_EASY_PACKAGE,"Yes, stop reminding me","Да, перестань напоминать мне"
SELECT_A_PERK,SELECT A PERK,ВЫБЕРИТЕ ПЕРК
THANKS_RETROMATION,Retromation \n<size=75\n%>For being an all around great guy & for showing our game to the world.</size>,"Retromation \n<size=75\n%>За то, что он просто отличный парень и показал нашу игру миру.</size>"
EXIT_CHARACTER_WITHOUT_SAVING,Exit without saving?,Выйти без сохранения?
STARTING_CONDITIONS,Starting Conditions,Начальные Условия
OUR_CHINESE_VOLUNTEERS,Our chinese translation volunteers:,Наши волонтеры по переводу на китайский:
EXIT_CHARACTER_WITHOUT_NAME,Please enter a name for your character,"Пожалуйста, введите имя для вашего персонажа"
START_GAME_BUTTON,START GAME,НАЧАТЬ ИГРУ
CREATE_NEW_CHARACTER,CREATE NEW CHARACTER,СОЗДАТЬ НОВОГО ПЕРСОНАЖА
OK,OK,ОК
DELETING_PORTRAIT,DELETING CUSTOM PORTRAIT...,УДАЛЕНИЕ ПОЛЬЗОВАТЕЛЬСКОГО ПОРТРЕТА...
THANKS_THENEOMARE,The Neomare \n<size=75\n%>For being another great guy & showing his constant support both in his Youtube channel & the forums.</size>,"The Neomare \n<size=75\n%>За то, что он ещё один отличный парень и постоянно поддерживает нас как на своем канале Youtube, так и на форумах.</size>"
ALLOWED_CHARACTERS,Allowed Characters,Разрешенные Символы
OUR_PATRONS,Our supporters on Patreon:,Наши сторонники на Patreon:
LOADING_PORTRAITS,LOADING CUSTOM PORTRAITS...,ЗАГРУЗКА ПОЛЬЗОВАТЕЛЬСКИХ ПОРТРЕТОВ...
CHECKPOINT_MODE_DESC,Auto checkpoints that you can revert to at any point or on death.,"Автоматические контрольные точки, к которым вы можете вернуться в любой момент или при смерти."
SELECT_GAMEMODE,NEW GAME - SELECT GAMEMODE,НОВАЯ ИГРА - ВЫБЕРИТЕ РЕЖИМ ИГРЫ
FANTASY_SUBTITLE,<size=75%>Fantasy Forest</size>,<size=75%>Фантастический Лес</size>
DELETE_CONFIRM,Are you sure you want to delete?\n,"Вы уверены, что хотите удалить?\n"
THANKS_TIMMEKEMMIT,"Matthew Kemmit aka ""Doc""\n<size=75%>For sharing your knowledge and ideas with us!</size>","Matthew Kemmit aka ""Doc""\n<size=75%>За то, что делитесь с нами своими знаниями и идеями!</size>"
REALISTIC_MODE_DESC,"No checkpoints, no loading, just like in real life.","Без контрольных точек, без загрузок, как в реальной жизни."
QUIT_CONFIRM_MENU,Quit the game?,Выйти из игры?
CARD_SURVIVAL_TITLE,CARD SURVIVAL,CARD SURVIVAL
OUR_OTHER_GAMES,Our other games,Наши другие игры
EASY_PACKAGE_TOGGLE,Easy Mode,Легкий Режим
DEMO_SAVEWRITING_WARNING,"<b>IMPORTANT NOTE:</b>\nYOUR PROGRESS WILL NOT BE SAVED\n\n""The First Days"" cannot store progress on saves created by the full game.","<b>ВАЖНОЕ ЗАМЕЧАНИЕ:</b>\nВАШ ПРОГРЕСС НЕ БУДЕТ СОХРАНЕН\n\n""Первые Дни"" не могут сохранять прогресс на сохранениях, созданных в полной версии игры."
CANCEL_EASY_PACKAGE,Cancel,Отмена
EASY_PACKAGE_DESC,Card Survival is designed to be challenging and unforgiving.\n\nEasy Mode provides you with basic supplies so you can have more time to learn and train.,"Card Survival разработана, чтобы быть сложной и беспощадной.\n\nЛегкий Режим предоставляет вам базовые припасы, чтобы у вас было больше времени на обучение и тренировки."
GAME_BY,By WinterSpring Games:,От WinterSpring Games:
INFO_AND_NEWS,PATCH NOTES & NEWS,ЗАМЕТКИ О ПАТЧАХ И НОВОСТИ
IMPORTING_PORTRAIT,IMPORTING CUSTOM PORTRAIT...,ИМПОРТ ПОЛЬЗОВАТЕЛЬСКОГО ПОРТРЕТА...
DEMO_GET_FULL_GAME,Get the full <b>GAME</b>,Получите полную <b>ИГРУ</b>
ENTER_NAME,ENTER NAME,ВВЕДИТЕ ИМЯ
SELECT_GAME,SELECT GAME,ВЫБЕРИТЕ ИГРУ
NEXT,NEXT,ДАЛЕЕ
EDIT_CHARACTER,Edit Character,Редактировать Персонажа
THANKS_FAMILIES,"Our Families\n<size=75%>For their trust, patience & love.</size>","Наши Семьи\n<size=75%>За их доверие, терпение и любовь.</size>"
DELETE_PORTRAIT_CONFIRM,Delete custom portrait?,Удалить пользовательский портрет?
ENTER_BIO,Enter Character Bio,Введите Биографию Персонажа
PLAY,Play,Играть
CHARACTERS,CHARACTERS,ПЕРСОНАЖИ
BOUGHT,Purchased,Куплено
MOONS_TITLE,Moons,Луны
MOONS_DESC,You earn one moon per 30 days of survival,Вы зарабатываете одну луну за каждые 30 дней выживания
SAFETY_MODE_TITLE,Safety Mode,Режим Безопасности
SAFETY_MODE_DESC,Allows you to restart the day from the menu or when you die.,Позволяет вам начать день заново из меню или при смерти.
SUNS_TITLE,Suns,Солнца
SUNS_DESC,You earn one sun per day of survival,Вы зарабатываете одно солнце за каждый день выживания
CANCEL_ACTION,CANCEL,ОТМЕНА
NO_BLUEPRINT_AVAILABLE,Explore and find items to unlock blueprints,"Исследуйте и находите предметы, чтобы разблокировать чертежи"
BLUEPRINT_MODELS,BLUEPRINTS,ЧЕРТЕЖИ
LOAD_CHECKPOINT,Load Checkpoint,Загрузить Контрольную Точку
OPTIONS,Options,Настройки
LOAD_CUSTOM_CHECKPOINT,Load,Загрузить
SAVE_CUSTOM_CHECKPOINT,Save,Сохранить
SAVE_AND_QUIT,Save and Quit,Сохранить и Выйти
CHECKPOINT_CONFIRM,Restart from the start of this day?,Начать заново с начала этого дня?
MENU,MENU,МЕНЮ
QUIT_CONFIRM,Save and quit to main menu?,Сохранить и выйти в главное меню?
ACCEPT_TRADE,Accept Trade,Принять Обмен
QUIT_TRADING,Cancel Trade,Отменить Обмен
QUESTS_JOURNAL,QUESTS,ЗАДАНИЯ
CLOSE,Close,Закрыть
STATS_TITLE,STATS,СТАТИСТИКА
THROW_ONE_AWAY,Throw 1 away,Выбросить 1
THROW_ALL_AWAY,Throw \nall away,Выбросить \nвсе
AUTOFILL,AUTO-FILL,АВТО-ЗАПОЛНЕНИЕ
PLEASE_CLEAR_PROJECT,Please clear current project first.,"Пожалуйста, сначала очистите текущий проект."
TRADE,Trade,Обмен
RENAME_CARD,Rename Card,Переименовать Карту
THROW_AWAY,Throw away,Выбросить
